name,parent_name,level,coefficient_a,coefficient_b,divergence_angle
Person in water,,1,0,0,0
Unknown PIW,Person in water,2,0.011,0.07,30
PIW with PFD (Average),Person in water,2,0.0127,0.07,21
PIW without PFD (Average),Person in water,2,0.015,0.07,16
"Vertical, PFD type II or III",Person in water,2,0.005,0.07,18
Sitting PFD type I,Person in water,2,0.0121,0,13
PIW Survival Suit (face up),Person in water,2,0.0212,0.1,26
PIW without PFD,Person in water,2,0.007,0.08,27
PIW Deceased,Person in water,2,0.0231,0,12
"Person in water horizontal in scuba suit",Person in water,2,0.007,0.08,30
Deceased person in water horizontal,Person in water,2,0.015,0.08,30
Life Raft,,1,0,0,0
Life Raft No Ballast,Life Raft,2,0,0,0
"Life Raft - No Ballast, No canopy, No drogue",Life Raft No Ballast,3,0.057,0.21,24
"Life Raft - No Ballast, No canopy, W/ drogue",Life Raft No Ballast,3,0.044,-0.2,28
"Life Raft - No Ballast, Canopy, No drogue",Life Raft No Ballast,3,0.037,0.11,24
"Life Raft - No Ballast, Canopy, W/ drogue",Life Raft No Ballast,3,0.03,0,28
Life Raft Shallow Ballast,Life Raft,2,0,0,0
"Life Raft - Shallow ballast, canopy, NO drogue",Life Raft Shallow Ballast,3,0.032,-0.02,22
"Life Raft - Shallow ballast, canopy, W/ drogue",Life Raft Shallow Ballast,3,0.025,0.01,22
"Life Raft - Shallow ballast, canopy, Capsized",Life Raft Shallow Ballast,3,0.017,-0.1,8
"Life Raft - Shallow ballast, canopy, 4-14 MAN (Average)",Life Raft Shallow Ballast,3,0.029,0,22
"Life Raft - Shallow ballast, canopy, Navy Sub Escape (SEIE) 1-man raft, With Drogue",Life Raft Shallow Ballast,3,0.031,0,13
"Life Raft - Shallow ballast, canopy, Navy Sub Escape (SEIE) 1-man raft, NO Drogue",Life Raft Shallow Ballast,3,0.022,0,23
Life Raft Deep Ballast,Life Raft,2,0,0,0
"Life Raft - Deep Ballast System and Canopy (Average)",Life Raft Deep Ballast,3,0.03,0.02,13
"Life Raft - Deep Ballast, 4-14 MAN",Life Raft Deep Ballast,3,0,0,0
"Life Raft - Deep Ballast, Canopy, 4-14 MAN (Average)","Life Raft - Deep Ballast, 4-14 MAN",4,0.029,0.04,15
"Life Raft - Deep Ballast, Canopy, 4-14 man, w/o drogue (Average)","Life Raft - Deep Ballast, 4-14 MAN",4,0.038,-0.04,15
"Life Raft - Deep Ballast, Canopy, 4-14 man, w/o drogue, light load","Life Raft - Deep Ballast, 4-14 MAN",4,0.038,-0.04,15
"Life Raft - Deep Ballast, Canopy, 4-14 man, w/o drogue, hvy load","Life Raft - Deep Ballast, 4-14 MAN",4,0.036,-0.03,15
"Life Raft - Deep Ballast, Canopy, 4-14 man, w/drogue (Average)","Life Raft - Deep Ballast, 4-14 MAN",4,0.018,0.03,12
"Life Raft - Deep Ballast, Canopy, 4-14 man, w/drogue, light load","Life Raft - Deep Ballast, 4-14 MAN",4,0.016,0.05,24
"Life Raft - Deep Ballast, Canopy, 4-14 man, w/drogue, hvy load","Life Raft - Deep Ballast, 4-14 MAN",4,0.021,0,20
"Life Raft - Deep Ballast, 15-50 MAN",Life Raft Deep Ballast,3,0,0,0
"Life Raft - Deep Ballast, Canopy, 15-50 MAN (Average)","Life Raft - Deep Ballast, 15-50 MAN",4,0.036,-0.09,10
"Life Raft - Deep Ballast, Canopy, 15-50 man, w/o drogue, light load","Life Raft - Deep Ballast, 15-50 MAN",4,0.039,-0.06,9
"Life Raft - Deep Ballast, Canopy, 15-50 man, w/ drogue, hvy load","Life Raft - Deep Ballast, 15-50 MAN",4,0.031,-0.07,9
"Life Raft - Deep Ballast System and Canopy - CAPSIZED",Life Raft Deep Ballast,3,0.009,0,12
"Life Raft - Deep Ballast System and Canopy - SWAMPED",Life Raft Deep Ballast,3,0.01,-0.04,8
Survival Craft,,1,0,0,0
"Survival Craft - SOLAS Hard Shell Life Capsule, 22 man",Survival Craft,2,0.038,-0.08,22
"Survival Craft - Ovatek Hard Shell Life Raft, 4 and 7 man, lightly loaded, no drogue",Survival Craft,2,0.041,0,17
"Survival Craft - Ovatek Hard Shell Life Raft, 4&7-man, fully loaded, drogued",Survival Craft,2,0.014,0,8
"Survival Craft - Ovatek Hard Shell Life Raft, 4 man, lightly loaded, no drogue",Survival Craft,2,0.039,0,7
"Survival Craft - Ovatek Hard Shell Life Raft, 4 man, fully loaded, drogued",Survival Craft,2,0.014,0,7
"Survival Craft - Ovatek Hard Shell Life Raft, 7 man, lightly loaded, no drogue",Survival Craft,2,0.042,0,21
"Survival Craft - Ovatek Hard Shell Life Raft, 7 man, fully loaded, drogued",Survival Craft,2,0.014,0,9
"Survival Craft - USCG Sea Rescue Kit - 3 ballasted life rafts and 300 meter of line",Survival Craft,2,0.025,-0.04,7
"Survival Craft - Aviation Life Raft, No Ballast, Canopy, 4-6 man, No Drogue",Survival Craft,2,0.037,0.11,24
"Survival Craft - Aviation Life Raft, Evacuation / Slide Raft  46-man",Survival Craft,2,0.028,-0.01,15
Person-Powered Craft,,1,0,0,0
Person-Powered Craft - Kayak,Person-Powered Craft,2,0,0,0
"Person-Powered Craft - Sea Kayak w/ person on aft deck",Person-Powered Craft - Kayak,3,0.011,0.24,15
"Person-Powered Craft - Sit-On-Top Kayak w/1 POB",Person-Powered Craft - Kayak,3,0.0424,0,14
"Person-Powered Craft - Empty Sit-On-Top Kayak",Person-Powered Craft - Kayak,3,0.0473,0,9
Person-Powered Craft - Canoe,Person-Powered Craft,2,0,0,0
"Person-Powered Craft - Outrigger Canoe",Person-Powered Craft - Canoe,3,0.024,0,10
"Person-Powered Craft - Open Canoe w/2 POB",Person-Powered Craft - Canoe,3,0.0968,0,20
"Person-Powered Craft - Empty Open Canoe",Person-Powered Craft - Canoe,3,0.1471,0,11
"Person-Powered Craft - Surfboard w/ person",Person-Powered Craft,2,0.02,0,15
"Person-Powered Craft - Windsurfer w/ person - mast & sail in water",Person-Powered Craft,2,0.023,0.1,12
